beta,s0,H,GAMMA,measured_sigmax,measured_sigmaz,N_measures,N_attempted_flips,N_accepted_flips,N_attempted_addsegment,N_accepted_addsegment,N_attempted_removesegment,N_accepted_removesegment,max_diagram_order,avg_diagram_order,run_time,N_total_steps,N_thermalization_steps,update_choice_seed,diagram_seed
10,1,-1,1e-10,-0,1,48999999,16671565,0,16663793,0,16664642,0,0,0,1659048300,50000000,1000000,1693787029296250100,1693787029296249600
10,1,-1,0.2,-0.19441,0.980861,48999999,16666127,342,16667243,2340675,16666630,2340675,10,0,1955364300,50000000,1000000,1693787030955548400,1693787030955547700
10,1,-1,0.4,-0.371613,0.928412,48999999,16667667,2766,16665005,4337101,16667328,4337101,16,1,2403147700,50000000,1000000,1693787032911193400,1693787032911192600
10,1,-1,0.6,-0.514739,0.85755,48999999,16669660,10004,16662710,5440013,16667630,5440013,20,3,2779720100,50000000,1000000,1693787035314479100,1693787035314478500
10,1,-1,0.8,-0.625049,0.780458,48999999,16663570,27990,16663809,6276376,16672621,6276373,24,5,3116157600,50000000,1000000,1693787038094335200,1693787038094334800
10,1,-1,1,-0.707184,0.706827,48999999,16665877,59837,16670650,6986555,16663473,6986549,28,7,3395787200,50000000,1000000,1693787041210629300,1693787041210628600
10,1,-0.8,1e-10,-0,1,48999999,16672632,2,16662180,0,16665188,0,0,0,1673621200,50000000,1000000,1693787044606553000,1693787044606552600
10,1,-0.8,0.2,-0.241456,0.970378,48999999,16662696,3378,16669686,2804212,16667618,2804211,10,0,2117035900,50000000,1000000,1693787046280326500,1693787046280325600
10,1,-0.8,0.4,-0.446639,0.894644,48999999,16662313,20179,16666791,4981872,16670896,4981871,18,1,2589575700,50000000,1000000,1693787048397501500,1693787048397500700
10,1,-0.8,0.6,-0.600636,0.799753,48999999,16665966,65456,16668902,6115471,16665132,6115469,22,3,2988495400,50000000,1000000,1693787050987257100,1693787050987256300
10,1,-0.8,0.8,-0.707345,0.706742,48999999,16668385,150516,16668026,6968165,16663589,6968160,26,5,3477287800,50000000,1000000,1693787053975921300,1693787053975920100
10,1,-0.8,1,-0.78079,0.624639,48999999,16663983,276779,16670758,7656077,16665259,7656073,30,7,3680071000,50000000,1000000,1693787057453422500,1693787057453421600
10,1,-0.6,1e-10,-0,0.999988,48999999,16669865,232,16669386,0,16660749,0,0,0,1683282700,50000000,1000000,1693787061133654900,1693787061133654100
10,1,-0.6,0.2,-0.315863,0.948778,48999999,16665458,30972,16664700,3479639,16669842,3479639,12,0,2147428300,50000000,1000000,1693787062817110100,1693787062817109300
10,1,-0.6,0.4,-0.554291,0.832245,48999999,16666395,150502,16667675,5818879,16665930,5818878,18,2,2702120900,50000000,1000000,1693787064964708000,1693787064964707500
10,1,-0.6,0.6,-0.706969,0.707146,48999999,16666661,382017,16665064,6946757,16668275,6946754,22,4,3095339500,50000000,1000000,1693787067666970800,1693787067666970000
